qid,doc_id,rank,title,url,relevance
q001,en_000180,1,bangladesh cricket: is the old culture of interference back?,https://www.thedailystar.net/star-multimedia/sports-multimedia/news/bangladesh-cricket-the-old-culture-interference-back-4027566,
q001,en_000067,2,bpl sylhet phase tickets to go on sale sunday,https://www.thedailystar.net/sports/cricket/news/bpl-sylhet-phase-tickets-go-sale-sunday-4062621,
q001,en_000178,3,when will women athletes get safe space in bangladesh?,https://www.thedailystar.net/star-multimedia/sports-multimedia/news/when-will-women-athletes-get-safe-space-bangladesh-4032581,
q001,en_000139,4,sohan captain for zim t20is,https://www.thedailystar.net/sports/cricket/news/sohan-captain-zim-t20is-3077041,
q001,en_000068,5,"bcb expresses solidarity with the daily star, prothom alo",https://www.thedailystar.net/sports/cricket/news/bcb-expresses-solidarity-the-daily-star-prothom-alo-4062611,
q001,en_000112,6,bangladesh tops south asia in air pollution,https://www.thedailystar.net/environment/pollution/air-pollution/news/bangladesh-tops-south-asia-air-pollution-4062186,
q001,en_000025,7,"bangladesh getting gsp plus: rights situation, labour law have to improve",https://www.thedailystar.net/news/bangladesh/rights/news/bangladesh-getting-gsp-plus-rights-situation-labour-law-has-improve-3074426,
q001,en_000162,8,(uncertain) future of journalism in bangladesh,https://www.thedailystar.net/star-weekend/news/uncertain-future-journalism-bangladesh-1833094,
q001,en_000043,9,nrbc bank organises ai-driven aml & cft conference,https://www.thedailystar.net/business/news/nrbc-bank-organises-ai-driven-aml-cft-conference-4062626,
q001,en_000017,10,‘you cannot remain silent’,https://www.thedailystar.net/news/bangladesh/news/you-cannot-remain-silent-3076231,
q002,en_000092,1,auto rice mill near school,https://www.thedailystar.net/news/bangladesh/news/auto-rice-mill-near-school-3073726,
q002,en_000039,2,govt’s treasury bill borrowing up 4.3% in nov,https://www.thedailystar.net/business/economy/news/govts-treasury-bill-borrowing-43-nov-4062776,
q002,en_000000,3,auschamp,https://www.thedailystar.net/auschamp,
q002,en_000001,4,momentaus,https://www.thedailystar.net/momentaus-3,
q002,en_000002,5,momentindia,https://www.thedailystar.net/momentindia-0,
q002,en_000003,6,saaussemi,https://www.thedailystar.net/saaussemi,
q002,en_000004,7,motmshami,https://www.thedailystar.net/motmshami-0,
q002,en_000005,8,indnzf,https://www.thedailystar.net/indnzf,
q002,en_000006,9,momentkohli,https://www.thedailystar.net/momentkohli,
q002,en_000007,10,motmdavid,https://www.thedailystar.net/motmdavid,
q003,ba_000162,1,জকসু নির্বাচনে শিবিরের ২১ দফা ইশতেহার,https://www.jagonews24.com/campus/news/1077696,
